ComponentType,Manufacturer,Model,PartNumber,SerialNumber,TMS System Type Description,E.164 Alias,TMS System Name,MasterSerialNumber,System Type,Cart Type,Unique ID,Facility,MEDICAL CENTER,IFCAPPONumber,POC,IP Address,Visn
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV33D00092,TANDBERG Codec C40,9500905,V03.NOP.TMD.B11.RM202,000161-005107,Telehealth Patient Cart System,Clinical,9411,561,East Orange VA Medical Center,561-A10071,,10.29.122.8,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921258,,,,000161-005107,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
Main codec camera,,Camera,,B1AB38D00253,,,,000161-005107,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1148,,,,000161-005107,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5733,,,,000161-005107,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV33D00033,TANDBERG Codec C40,9500923,V03.NOP.CBOC.VALLYSTREAM.RM112,000161-005109,Telehealth Patient Cart System,Clinical,10119,632,Northport VA Medical Center,632-A10066,,10.29.71.163,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920864,,,,000161-005109,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Main codec camera,,Camera,,B1AB38D00285,,,,000161-005109,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1203,,,,000161-005109,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5653,,,,000161-005109,Telehealth Patient Cart System,Clinical,,632,Northport VA Medical Center,632-A10066,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV36D00171,TANDBERG Codec C40,9500357,V01.WRJ.TMD.CBOC.KEENE.PRI,000161-005111,Telehealth Patient Cart System,Clinical,9007,561,East Orange VA Medical Center,561-A10071,,10.14.110.205,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,920866,,,,000161-005111,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
Main codec camera,,Camera,,B1AB38D00202,,,,000161-005111,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1161,,,,000161-005111,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5637,,,,000161-005111,Telehealth Patient Cart System,Clinical,,561,East Orange VA Medical Center,561-A10071,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00204,TANDBERG Codec C40,9500858,V03.CAS.TMD.B15-R238,000163-005174,Telehealth Patient Cart System,Clinical,9975,620,Montrose VA Medical Center,620-A10081,,10.28.123.28,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,922130,,,,000163-005174,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Main codec camera,,Camera,,B1AB39D00469,,,,000163-005174,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1429,,,,000163-005174,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5992,,,,000163-005174,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00174,TANDBERG Codec C40,9500875,V03.CAS.TMD.B18-R101A,000163-005176,Telehealth Patient Cart System,Clinical,14037,620,Montrose VA Medical Center,620-A10081,,10.28.123.36,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,922132,,,,000163-005176,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Main codec camera,,Camera,,B1AB39D00424,,,,000163-005176,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1392,,,,000163-005176,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5989,,,,000163-005176,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00198,TANDBERG Codec C40,9500879,V03.CAS.SCI.B15-R123B,000163-005178,Telehealth Patient Cart System,Clinical,18248,620,Montrose VA Medical Center,620-A10081,,10.28.123.47,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,922110,,,,000163-005178,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Main codec camera,,Camera,,B1AB39D00449,,,,000163-005178,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1259,,,,000163-005178,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5993,,,,000163-005178,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00163,,,,000163-005180,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,922129,,,,000163-005180,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Main codec camera,,Camera,,B1AB25D00263,,,,000163-005180,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1412,,,,000163-005180,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5990,,,,000163-005180,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00203,TANDBERG Codec C40,9500846,V03.MOR.TMD.B4-R214,000163-005182,Telehealth Patient Cart System,Clinical,26774,620,Montrose VA Medical Center,620-A10081,,10.24.123.34,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,922007,,,,000163-005182,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1335,,,,000163-005182,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5999,,,,000163-005182,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV39D00282,TANDBERG Codec C40,9500874,V03.CAS.TMD.B15-R08E,000163-005184,Telehealth Patient Cart System,Clinical,14049,620,Montrose VA Medical Center,620-A10081,,10.28.123.40,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,922118,,,,000163-005184,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1425,,,,000163-005184,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5982,,,,000163-005184,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV38D00212,TANDBERG Codec C40,9500860,V03.MOR.CBOC.AUD.MON,000163-005186,Telehealth Patient Cart System,Clinical,9809,620,Montrose VA Medical Center,620-A10081,,10.24.71.212,3
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921995,,,,000163-005186,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Main codec camera,,Camera,,B1AB38D00639,,,,000163-005186,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,Y566,,,,000163-005186,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5988,,,,000163-005186,Telehealth Patient Cart System,Clinical,,620,Montrose VA Medical Center,620-A10081,,,3
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV30D00017,TANDBERG Codec C40,9502663,V07.TUA.TMD.135.G42.MCC,000179-107105,Telehealth Patient Cart System,Specialty,9164,679,VA MEDICAL CENTER-TUSCALOOSA,679-1A5039,,10.63.98.21,7
Main codec camera,,Camera,,B1AB30D00381,,,,000179-107105,Telehealth Patient Cart System,Specialty,,679,VA MEDICAL CENTER-TUSCALOOSA,679-1A5039,,,7
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM4509,,,,000179-107105,Telehealth Patient Cart System,Specialty,,679,VA MEDICAL CENTER-TUSCALOOSA,679-1A5039,,,7
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV43D00019,TANDBERG Codec C40,9502092,V06.SAM.DPT.GTH.143.OT.BC116,000184-005188,Telehealth Patient Cart System,Clinical,10625,658,Salem VA Medical Center,483-A10083,,10.49.204.141,6
Main codec camera,,Camera,,B1AB42D00473,,,,000184-005188,Telehealth Patient Cart System,Clinical,,658,Salem VA Medical Center,483-A10083,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV39D00074,TANDBERG Codec C40,9502090,V06.SAM.CBOC.STA.GTH.GMCart.SC122,000184-005190,Telehealth Patient Cart System,Clinical,10621,658,Salem VA Medical Center,483-A10083,,10.49.205.135,6
Main codec camera,,Camera,,B1AB42D00394,,,,000184-005190,Telehealth Patient Cart System,Clinical,,658,Salem VA Medical Center,483-A10083,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00187,TANDBERG Codec C40,9502089,V06.SAM.CRT.GTH.143BB158.GMCart,000184-005192,Telehealth Patient Cart System,Clinical,10620,658,Salem VA Medical Center,483-A10083,,10.49.162.102,6
Lightbox,JedMed,TotalENT Lightbox,GMR14030002,921301,,,,000184-005192,Telehealth Patient Cart System,Clinical,,658,Salem VA Medical Center,483-A10083,,,6
Otoscope/Dermascope,GlobalMed,TotalENT Otoscope,GMR14030019,A1276,,,,000184-005192,Telehealth Patient Cart System,Clinical,,658,Salem VA Medical Center,483-A10083,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV41D00099,TANDBERG Codec C40,9502095,V06.SAM.CBOC.LYN.GTH.LC36.GMCART,000184-005194,Telehealth Patient Cart System,Clinical,10629,658,Salem VA Medical Center,483-A10083,,10.49.228.158,6
Main codec camera,,Camera,,B1AB42D00008,,,,000184-005194,Telehealth Patient Cart System,Clinical,,658,Salem VA Medical Center,483-A10083,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV44D00034,TANDBERG Codec C40,9502093,V06.SAM.CBOC.WVL.GTH.RM115.GMCART,000184-005196,Telehealth Patient Cart System,Clinical,10627,658,Salem VA Medical Center,483-A10083,,10.49.229.22,6
Main codec camera,,Camera,,B1AB42D00308,,,,000184-005196,Telehealth Patient Cart System,Clinical,,658,Salem VA Medical Center,483-A10083,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV41D00038,TANDBERG Codec C40,9502094,V06.SAM.CRT.GTH.12.251.GMCart,000184-005198,Telehealth Patient Cart System,Clinical,10628,658,Salem VA Medical Center,483-A10083,,10.49.162.110,6
Main codec camera,,Camera,,B1AB40D00244,,,,000184-005198,Telehealth Patient Cart System,Clinical,,658,Salem VA Medical Center,483-A10083,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV41D00043,TANDBERG Codec C40,9502091,V06.SAM.CBOC.DAN.GTH.Rm235.GMCart,000184-005200,Telehealth Patient Cart System,Clinical,10624,658,Salem VA Medical Center,483-A10083,,10.49.205.125,6
Main codec camera,,Camera,,B1AB42D00454,,,,000184-005200,Telehealth Patient Cart System,Clinical,,658,Salem VA Medical Center,483-A10083,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV43D00053,TANDBERG Codec C40,9502155,V06.FNC.CBOC.SANFORD.SUR.CRT,000186-005202,Telehealth Patient Cart System,Specialty,10805,565,Fayetteville VA Medical Center (NC),483-A10086,,10.55.204.59,6
Main codec camera,,Camera,,B1AB42D00352,,,,000186-005202,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV43D00062,TANDBERG Codec C40,9502146,V06.FNC.CBOC.HAM.GTH.R135.GMCart,000186-005204,Telehealth Patient Cart System,Specialty,10722,565,Fayetteville VA Medical Center (NC),483-A10086,,10.51.186.235,6
Main codec camera,,Camera,,B1AB41D00136,,,,000186-005204,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,F1AV43D00035,,,,000186-005206,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00274,,,,000186-005206,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV40D00112,,,,000186-005208,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00358,,,,000186-005208,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV41D00081,,,,000186-005210,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB40D00239,,,,000186-005210,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Total Exam Camera 2,GlobalMed,TotalExam 2 Camera,GMR5502WR00,GM5789,,,,000186-005210,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
"Codec, Hardware",Cisco,C40,CTS-INTP-C40-K9,B1AV39D00100,TANDBERG Codec C40,9502144,V06.FNC.CRT.MED.R225.GMCart,000186-005212,Telehealth Patient Cart System,Specialty,10804,565,Fayetteville VA Medical Center (NC),483-A10086,,10.51.217.146,6
Lightbox,JedMed,TotalENT Lightbox,GMR140300002,921672,,,,000186-005212,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
Main codec camera,,Camera,,B1AB42D00487,,,,000186-005212,Telehealth Patient Cart System,Specialty,,565,Fayetteville VA Medical Center (NC),483-A10086,,,6
